long,lat,calle_nombre,calle_altura,modelo,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4967958570254,-34.5645558571056,ISLANDIA,5450,MECÁNICA,Villa Urquiza,Comuna 12,1431,C1431BNB
-58.4305316203406,-34.6521119562925,ITAQUI,1872,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437GVD
-58.374940557746896,-34.6309738279911,ITUZAINGO,763,MECÁNICA,Barracas,Comuna 4,1272,C1272AFA
-58.5258468561262,-34.6360954019002,"JACQUES, AMADEO",6813,MECÁNICA,Liniers,Comuna 9,1408,C1408AHC
-58.4341605609397,-34.646438470693305,"JANER, ANA MARIA",1882,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437HGB
-58.4747796349275,-34.5512420753056,JARAMILLO,3076,CONTENEDOR 3200,Saavedra,Comuna 12,1429,C1429CRX
-58.478178530727206,-34.553019425605605,JARAMILLO,3446,CONTENEDOR 3200,Saavedra,Comuna 12,1430,C1430AGB
-58.435013123537104,-34.610061207097004,"JAURETCHE, ARTURO",156,MECÁNICA,Caballito,Comuna 6,1405,C1405CUD
-58.4374089214368,-34.6110634349971,"JAURETCHE, ARTURO",272,MECÁNICA,Caballito,Comuna 6,1405,C1405CUF
-58.37793980134789,-34.652438634689005,JORGE,2250,MECÁNICA,Barracas,Comuna 4,1275,C1275ABD
-58.374158592547104,-34.6318477699909,"JOVELLANOS, GASPAR M. DE",106,MECÁNICA,Barracas,Comuna 4,1268,C1268ADD
-58.3708568568485,-34.6464020514892,"JOVELLANOS, GASPAR M. DE",1513,MECÁNICA,Barracas,Comuna 4,1269,C1269ACM
-58.4304511200369,-34.597777651998,JUFRE,142,MECÁNICA,Villa Crespo,Comuna 15,1414,C1414AYD
-58.434790599436,-34.593144390598695,JUFRE,692,MECÁNICA,Villa Crespo,Comuna 15,1414,C1414AYN
-58.40555831274139,-34.6128260649948,JUJUY AV.,251,MECÁNICA,Balvanera,Comuna 3,1083,C1083AAC
-58.4044624182418,-34.61644017809439,JUJUY AV.,547,MECÁNICA,Balvanera,Comuna 3,1229,C1229ABA
-58.40200714374271,-34.624985576593396,JUJUY AV.,1285,MECÁNICA,San Cristobal,Comuna 3,1247,C1247ABA
-58.3998932375436,-34.6329722899924,JUJUY AV.,1942,MECÁNICA,Parque Patricios,Comuna 4,1247,C1247ABU
-58.399658891743705,-34.6341021117923,JUJUY AV.,2031,MECÁNICA,Parque Patricios,Comuna 4,1247,C1247ABI
-58.395879616441405,-34.5933051137962,JUNCAL,2009,MECÁNICA,Recoleta,Comuna 2,1116,C1116AAE
-58.409592611838995,-34.585711820697796,JUNCAL,3186,MECÁNICA,Palermo,Comuna 14,1425,C1425AYP
-58.4122869656385,-34.5843263617982,JUNCAL,3460,MECÁNICA,Palermo,Comuna 14,1425,C1425AYV
-58.4272638728361,-34.578861496799696,"JUSTO, JUAN B. AV.",671,MECÁNICA,Palermo,Comuna 14,1425,C1425FSA
-58.428570145836,-34.5803572687996,"JUSTO, JUAN B. AV.",839,MECÁNICA,Palermo,Comuna 14,1425,C1425FSC
-58.430257618035895,-34.5820571946996,"JUSTO, JUAN B. AV.",1035,MECÁNICA,Palermo,Comuna 14,1425,C1425FSE
-58.43158769773579,-34.5828917544996,"JUSTO, JUAN B. AV.",1191,MECÁNICA,Palermo,Comuna 14,1414,C1414CWA
