"Longitud","Latitud","Calle","Altura","Materiales","Barrio","Comuna","Calle2","Direccion","Tipo"
"-58.4988964752308","-34.6481597173973","ALBERDI, JUAN BAUTISTA AV.",5391,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440AAE","campanas_verdes"
"-58.5007702185307","-34.6498881030972","ALBERDI, JUAN BAUTISTA AV.",5629,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440AAH","campanas_verdes"
"-58.5052230187303","-34.6539906771971","ALBERDI, JUAN BAUTISTA AV.",6143,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440AAM","campanas_verdes"
"-58.5070250591302","-34.655316907997","ALBERDI, JUAN BAUTISTA AV.",6375,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ABB","campanas_verdes"
"-58.50849123783","-34.656385586097","ALBERDI, JUAN BAUTISTA AV.",6539,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ABD","campanas_verdes"
"-58.5107488203298","-34.657945604697","ALBERDI, JUAN BAUTISTA AV.",6805,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ABG","campanas_verdes"
"-58.5117779238297","-34.658807831597","ALBERDI, JUAN BAUTISTA AV.",6952,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ABU","campanas_verdes"
"-58.5148349183294","-34.660387012197","ALBERDI, JUAN BAUTISTA AV.",7247,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ABK","campanas_verdes"
"-58.5164585483293","-34.661409810797","ALBERDI, JUAN BAUTISTA AV.",7388,"MECÁNICA","Mataderos","Comuna 9","1440.0","C1440ABY","campanas_verdes"
"-58.3989548170436","-34.6315099133925","ALBERTI",1836,"MECÁNICA","Parque Patricios","Comuna 4","1247.0","C1247AAN","campanas_verdes"
"-58.3981284674439","-34.6336751567923","ALBERTI",2030,"MECÁNICA","Parque Patricios","Comuna 4","1247.0","C1247AAR","campanas_verdes"
"-58.5040243817282","-34.6200891900004","ALCARAZ",4787,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GIM","campanas_verdes"
"-58.505748221328","-34.6209007047005","ALCARAZ",4911,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GIQ","campanas_verdes"
"-58.5096616174277","-34.6241965189004","ALCARAZ",5231,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GIW","campanas_verdes"
"-58.5121540897275","-34.6262533386003","ALCARAZ",5457,"MECÁNICA","Villa Luro","Comuna 10","1407.0","C1407GJA","campanas_verdes"
"-58.5159124035272","-34.6304670545002","ALCARAZ",5950,"MECÁNICA","Versalles","Comuna 10","1408.0","C1408CFD","campanas_verdes"
"-58.4140421373431","-34.655336154791","ALCORTA, AMANCIO AV.",3889,"MECÁNICA","Nueva Pompeya","Comuna 4","1437.0","C1437HUI","campanas_verdes"
"-58.5179886372253","-34.6077003575026","ALLENDE",3676,"MECÁNICA","Villa Devoto","Comuna 11","1419.0","C1419BVD","campanas_verdes"
"-58.4114605000424","-34.6386732012926","ALMAFUERTE AV.",32,"MECÁNICA","Parque Patricios","Comuna 4","1437.0","C1437JLN","campanas_verdes"
"-58.4146449582424","-34.646085438992","ALMAFUERTE AV.",724,"MECÁNICA","Nueva Pompeya","Comuna 4","1437.0","C1437JLU","campanas_verdes"
"-58.3941360113429","-34.6116906474942","ALSINA, ADOLFO",1960,"MECÁNICA","Balvanera","Comuna 3","1090.0","C1090AAD","campanas_verdes"
"-58.4023768537418","-34.6122699223947","ALSINA, ADOLFO",2550,"MECÁNICA","Balvanera","Comuna 3","1090.0","C1090AAP","campanas_verdes"
"-58.4110386326407","-34.6129744063952","ALSINA, ADOLFO",3190,"MECÁNICA","Balvanera","Comuna 3","1207.0","C1207AAH","campanas_verdes"
"-58.4816830927291","-34.5885726005022","ALTOLAGUIRRE",1320,"MECÁNICA","Parque Chas","Comuna 15","1427.0","C1427BHD","campanas_verdes"
"-58.4843804772285","-34.5852630351027","ALTOLAGUIRRE",1554,"MECÁNICA","Parque Chas","Comuna 15","1431.0","C1431ECD","campanas_verdes"
"-58.3640609177493","-34.644718793989","ALVAR NUÑEZ",323,"MECÁNICA","Boca","Comuna 4",,,"campanas_verdes"
"-58.3798477541473","-34.6467428857898","ALVARADO",2281,"MECÁNICA","Barracas","Comuna 4","1290.0","C1290AAG","campanas_verdes"
"-58.382016003747","-34.6472661195898","ALVARADO",2477,"MECÁNICA","Barracas","Comuna 4","1290.0","C1290AAK","campanas_verdes"
"-58.4695969942318","-34.6023187107","ALVAREZ JONTE",1847,"MECÁNICA","Paternal","Comuna 15","1416.0","C1416EXD","campanas_verdes"
"-58.4754225913312","-34.6061169038","ALVAREZ JONTE",2317,"MECÁNICA","Villa Del Parque","Comuna 11","1416.0","C1416EXI","campanas_verdes"
"-58.477878227331","-34.6073868942001","ALVAREZ JONTE AV.",2515,"MECÁNICA","Villa Del Parque","Comuna 11","1416.0","C1416EXK","campanas_verdes"
"-58.4829105200304","-34.6086840667002","ALVAREZ JONTE AV.",2857,"MECÁNICA","Villa Del Parque","Comuna 11","1416.0","C1416EYA","campanas_verdes"
"-58.48562820583","-34.6093562212004","ALVAREZ JONTE AV.",3043,"MECÁNICA","Villa Del Parque","Comuna 11","1416.0","C1416EYC","campanas_verdes"
"-58.4886031298296","-34.6100683650005","ALVAREZ JONTE AV.",3241,"MECÁNICA","Villa Del Parque","Comuna 11","1416.0","C1416EYE","campanas_verdes"
"-58.4908902021294","-34.6117541112004","ALVAREZ JONTE AV.",3477,"MECÁNICA","Villa Del Parque","Comuna 11","1407.0","C1407GOB","campanas_verdes"
"-58.4973289454288","-34.6152652469005","ALVAREZ JONTE AV.",4029,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GOH","campanas_verdes"
"-58.5031644476282","-34.6183581996006","ALVAREZ JONTE AV.",4559,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GOM","campanas_verdes"
"-58.505367607928","-34.6195070625006","ALVAREZ JONTE AV.",4753,"MECÁNICA","Monte Castro","Comuna 10","1407.0","C1407GPB","campanas_verdes"
