punto;comuna;año;mes;pesaje_avu_litros;long;lat
25 de Agosto;Comuna 15;2017;Agosto;35.8;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Agosto;25.1;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Agosto;28.4;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Agosto;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Agosto;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Agosto;18.9;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Agosto;0;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Agosto;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Agosto;0;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Agosto;0;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2017;Agosto;51.5;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2017;Agosto;96.6;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2017;Agosto;64.1;-58.494533;-34.5770799
PVMs;Comuna 1;2017;Agosto;50;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2017;Agosto;33.2;-58.38162259999999;-34.6210274
Plaza Güemes;Comuna 14;2017;Septiembre;96.4;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Septiembre;116.8;-58.43495559999999;-34.606830200000005
