punto;comuna;año;mes;pesaje_avu_litros;long;lat
Plaza Don Bosco;Comuna 10;2018;Julio;35;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Julio;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Julio;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Julio;30.3;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Julio;43.9;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Julio;0;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Julio;0;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Julio;0;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Julio;28.5;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Julio;61.4;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Julio;0;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Julio;0;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Julio;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Julio;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Julio;74;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Julio;21.5;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Julio;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Julio;91.4;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Julio;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Julio;45.5;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Julio;32.5;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Julio;48.3;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Julio;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Julio;31.9;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Julio;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Julio;204.4;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Julio;25;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Julio;42;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Julio;220;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Julio;146;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Julio;141.4;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Julio;0;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Julio;33.2;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Julio;103.2;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Julio;15.5;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Julio;40.8;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Julio;22.2;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Julio;0;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Julio;35.4;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Julio;30;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Julio;33.3;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Julio;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Julio;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Julio;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Julio;0;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Julio;38.2;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Julio;41.2;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Julio;99.545;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Julio;0;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Julio;81.6;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Julio;0;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Julio;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Julio;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Julio;0;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Julio;0;-58.4558059;-34.6643982
Portal Cildañez;Comuna 9;2018;Julio;0;-58.47084569999999;-34.65624260000001
Oficina sechi (soldati);Comuna 7;2018;Julio;0;-58.433763;-34.628817
sede comunal 14;Comuna 14;2018;Julio;0;-58.40933589999999;-34.58723630000001
Plaza las Toscaneras;Comuna 10;2018;Julio;0;-58.52535669999999;-34.616482299999994
Plaza Sargento Cabral;Comuna 3;2018;Julio;0;-58.403515799999994;-34.617202
Plaza Domingo Olivera;Comuna 9;2018;Julio;0;-58.48444620000001;-34.6473795
Plaza Las Heras;Comuna 14;2018;Julio;41.9;-58.4052666;-34.58342929999999
Plaza Matheu;Comuna 4;2018;Julio;33.1;-58.36661360000001;-34.6401178
Plaza Zabala;Comuna 13;2018;Julio;19.3;-58.4526236;-34.5724579
Plaza Güemes;Comuna 14;2018;Agosto;139.2;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Agosto;201.4;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Agosto;43.8;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Agosto;221.1;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Agosto;109.2;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Agosto;67.8;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Agosto;0;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Agosto;41;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Agosto;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Agosto;101.1;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Agosto;127.4;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Agosto;55.9;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Agosto;39;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Agosto;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Agosto;63.6;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Agosto;0;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Agosto;86.7;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Agosto;67.9;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Agosto;0;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Agosto;63.9;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Agosto;68.8;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Agosto;39.1;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Agosto;43.2;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Agosto;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Agosto;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Agosto;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Agosto;103.7;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Agosto;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Agosto;40.8;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Agosto;33.1;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Agosto;32;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Agosto;87.2;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Agosto;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Agosto;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Agosto;81.1;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Agosto;50;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Agosto;173.4;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Agosto;25.9;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Agosto;33.5;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Agosto;126;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Agosto;138.6;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Agosto;56.8;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Agosto;21.5;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Agosto;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Agosto;0;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Agosto;19.9;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Agosto;0;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Agosto;59.9;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Agosto;73.3;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Agosto;70.8;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Agosto;41.5;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Agosto;20.3;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Agosto;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Agosto;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Agosto;35.5;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Agosto;48.5;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Agosto;43.7;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Agosto;83.6;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Agosto;0;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Agosto;0;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Agosto;0;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Agosto;22.3;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Agosto;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Agosto;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Agosto;84.773;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Agosto;38.523;-58.4558059;-34.6643982
Portal Cildañez;Comuna 9;2018;Agosto;0;-58.47084569999999;-34.65624260000001
Oficina sechi (soldati);Comuna 7;2018;Agosto;0;-58.433763;-34.628817
sede comunal 14;Comuna 14;2018;Agosto;0;-58.40933589999999;-34.58723630000001
Plaza las Toscaneras;Comuna 10;2018;Agosto;0;-58.52535669999999;-34.616482299999994
Plaza Sargento Cabral;Comuna 3;2018;Agosto;0;-58.403515799999994;-34.617202
Plaza Domingo Olivera;Comuna 9;2018;Agosto;49.3;-58.48444620000001;-34.6473795
Plaza Las Heras;Comuna 14;2018;Agosto;41.9;-58.4052666;-34.58342929999999
Plaza Matheu;Comuna 4;2018;Agosto;0;-58.36661360000001;-34.6401178
Plaza Zabala;Comuna 13;2018;Agosto;49.7;-58.4526236;-34.5724579
Plaza Marcos Sastre;Comuna 12;2018;Agosto;48.5;-58.4814696;-34.5712066
Barrio Carrillo;Comuna 4;2018;Agosto;30.8;-58.38172989999999;-34.637072700000004
Plaza Libertad;Comuna 1;2018;Agosto;21;-58.384129200000004;-34.5981226
Estación Soldati;Comuna 8;2018;Agosto;35.9;-58.4408853;-34.6622982
Plaza Forest;Comuna 15;2018;Agosto;41.1;-58.4589137;-34.57972609999999
Plaza Güemes;Comuna 14;2018;Septiembre;108.2;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Septiembre;127.3;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Septiembre;68.9;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Septiembre;82.8;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Septiembre;97.8;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Septiembre;19.9;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Septiembre;60;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Septiembre;67.4;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Septiembre;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Septiembre;142.2;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Septiembre;61.9;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Septiembre;41.5;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Septiembre;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Septiembre;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Septiembre;48.8;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Septiembre;126.6;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Septiembre;95.1;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Septiembre;85.8;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Septiembre;56.8;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Septiembre;94.2;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Septiembre;32;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Septiembre;78.4;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Septiembre;0;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Septiembre;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Septiembre;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Septiembre;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Septiembre;48.3;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Septiembre;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Septiembre;48.9;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Septiembre;72.4;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Septiembre;29.9;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Septiembre;35.9;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Septiembre;38;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Septiembre;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Septiembre;52.1;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Septiembre;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Septiembre;158.4;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Septiembre;33.2;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Septiembre;68.4;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Septiembre;125.8;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Septiembre;141.2;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Septiembre;68.7;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Septiembre;24.1;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Septiembre;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Septiembre;0;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Septiembre;56;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Septiembre;0;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Septiembre;41.9;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Septiembre;50.1;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Septiembre;0;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Septiembre;30;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Septiembre;41.3;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Septiembre;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Septiembre;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Septiembre;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Septiembre;43.5;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Septiembre;63.2;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Septiembre;66;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Septiembre;102.614;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Septiembre;66.3;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Septiembre;0;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Septiembre;0;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Septiembre;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Septiembre;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Septiembre;219.091;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Septiembre;0;-58.4558059;-34.6643982
Portal Cildañez;Comuna 9;2018;Septiembre;44.659;-58.47084569999999;-34.65624260000001
Oficina sechi (soldati);Comuna 7;2018;Septiembre;502.273;-58.433763;-34.628817
sede comunal 14;Comuna 14;2018;Septiembre;0;-58.40933589999999;-34.58723630000001
Plaza las Toscaneras;Comuna 10;2018;Septiembre;38.5;-58.52535669999999;-34.616482299999994
Plaza Sargento Cabral;Comuna 3;2018;Septiembre;0;-58.403515799999994;-34.617202
Plaza Domingo Olivera;Comuna 9;2018;Septiembre;0;-58.48444620000001;-34.6473795
Plaza Las Heras;Comuna 14;2018;Septiembre;48.9;-58.4052666;-34.58342929999999
Plaza Matheu;Comuna 4;2018;Septiembre;44;-58.36661360000001;-34.6401178
Plaza Zabala;Comuna 13;2018;Septiembre;0;-58.4526236;-34.5724579
Plaza Marcos Sastre;Comuna 12;2018;Septiembre;0;-58.4814696;-34.5712066
Barrio Carrillo;Comuna 4;2018;Septiembre;0;-58.38172989999999;-34.637072700000004
Plaza Libertad;Comuna 1;2018;Septiembre;22.2;-58.384129200000004;-34.5981226
Estación Soldati;Comuna 8;2018;Septiembre;0;-58.4408853;-34.6622982
Plaza Forest;Comuna 15;2018;Septiembre;33.4;-58.4589137;-34.57972609999999
Plaza 11 de Noviembre;Comuna 7;2018;Septiembre;33.1;-58.4637096;-34.63457460000001
Carrefour J. B. Justo;Comuna 10;2018;Septiembre;18.9;-58.522226399999994;-34.6333499
Carrefour Mataderos;Comuna 9;2018;Septiembre;71.1;-58.514124699999996;-34.6638685
Plaza San MIguel de Caricoits;Comuna 13;2018;Septiembre;42.2;-58.45859970000001;-34.5777191
Plaza Monseñor Fermin Lafitte;Comuna 10;2018;Septiembre;43;-58.50843520000001;-34.61902329999999
Lugano 1 y 2;Comuna 8;2018;Septiembre;66.6;-58.46331650000001;-34.68533789999999
Estación Lugano;Comuna 8;2018;Septiembre;53;-58.47696550000001;-34.677292200000004
Plaza Herrera;Comuna 4;2018;Septiembre;38.5;-58.3766152;-34.64418870000001
Plaza de la misericordia;Comuna 7;2018;Septiembre;38.8;-58.455806700000004;-34.6325454
Plaza Güemes;Comuna 14;2018;Octubre;78.4;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Octubre;100.9;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Octubre;60.7;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Octubre;59;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Octubre;105.6;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Octubre;54.3;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Octubre;71.8;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Octubre;105.3;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Octubre;66.3;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Octubre;104.6;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Octubre;132.4;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Octubre;65.5;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Octubre;65.1;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Octubre;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Octubre;31.7;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Octubre;148.1;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Octubre;89.6;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Octubre;51.8;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Octubre;79.5;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Octubre;33.8;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Octubre;70.3;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Octubre;63.3;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Octubre;57.7;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Octubre;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Octubre;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Octubre;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Octubre;61.2;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Octubre;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Octubre;0;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Octubre;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Octubre;117.8;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Octubre;51.1;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Octubre;66.5;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Octubre;34.3;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Octubre;82.6;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Octubre;99.4;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Octubre;148.6;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Octubre;47.8;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Octubre;71.4;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Octubre;144.2;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Octubre;167.9;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Octubre;44.4;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Octubre;95.5;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Octubre;41.3;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Octubre;0;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Octubre;38.5;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Octubre;62.6;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Octubre;44.9;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Octubre;44.4;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Octubre;88.4;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Octubre;55.4;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Octubre;0;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Octubre;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Octubre;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Octubre;60.5;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Octubre;57.5;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Octubre;0;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Octubre;68.7;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Octubre;111.591;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Octubre;13.5;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Octubre;28.9;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Octubre;45.8;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Octubre;0;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Octubre;0;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Octubre;68.068;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Octubre;0;-58.4558059;-34.6643982
Portal Cildañez;Comuna 9;2018;Octubre;0;-58.47084569999999;-34.65624260000001
Oficina sechi (soldati);Comuna 7;2018;Octubre;0;-58.433763;-34.628817
sede comunal 14;Comuna 14;2018;Octubre;41.136;-58.40933589999999;-34.58723630000001
Plaza las Toscaneras;Comuna 10;2018;Octubre;41.1;-58.52535669999999;-34.616482299999994
Plaza Sargento Cabral;Comuna 3;2018;Octubre;71.7;-58.403515799999994;-34.617202
Plaza Domingo Olivera;Comuna 9;2018;Octubre;55.9;-58.48444620000001;-34.6473795
Plaza Las Heras;Comuna 14;2018;Octubre;0;-58.4052666;-34.58342929999999
Plaza Matheu;Comuna 4;2018;Octubre;0;-58.36661360000001;-34.6401178
Plaza Zabala;Comuna 13;2018;Octubre;44.1;-58.4526236;-34.5724579
Plaza Marcos Sastre;Comuna 12;2018;Octubre;41.9;-58.4814696;-34.5712066
Barrio Carrillo;Comuna 4;2018;Octubre;0;-58.38172989999999;-34.637072700000004
Plaza Libertad;Comuna 1;2018;Octubre;66.1;-58.384129200000004;-34.5981226
Estación Soldati;Comuna 8;2018;Octubre;0;-58.4408853;-34.6622982
Plaza Forest;Comuna 15;2018;Octubre;0;-58.4589137;-34.57972609999999
Plaza 11 de Noviembre;Comuna 7;2018;Octubre;57.3;-58.4637096;-34.63457460000001
Carrefour J. B. Justo;Comuna 10;2018;Octubre;33.8;-58.522226399999994;-34.6333499
Carrefour Mataderos;Comuna 9;2018;Octubre;40;-58.514124699999996;-34.6638685
Plaza San MIguel de Caricoits;Comuna 13;2018;Octubre;0;-58.45859970000001;-34.5777191
Plaza Monseñor Fermin Lafitte;Comuna 10;2018;Octubre;0;-58.50843520000001;-34.61902329999999
